phishtank_id,phishtank_url,phishtank_online,phishtank_verified,crawl_date,crawl_final_url,crawl_page_input
9345885,http://108.163.251.91/components/com_config/view/cms/1/index.html,True,True,2026-07-08,http://108.163.251.91/components/com_config/view/cms/1/index.html,"[{'autocomplete': '', 'disabled': False, 'height': 35, 'id': '', 'name': 'email', 'page_height': 1301, 'page_width': 2560, 'placeholder': '电子邮件地址', 'readonly': False, 'tag': 'input', 'type': 'email', 'visible': True, 'width': 275, 'x': 1142.5, 'y': 507}, {'autocomplete': '', 'disabled': False, 'height': 35, 'id': '', 'name': 'passwd', 'page_height': 1301, 'page_width': 2560, 'placeholder': '密码', 'readonly': False, 'tag': 'input', 'type': 'password', 'visible': True, 'width': 275, 'x': 1142.5, 'y': 551}, {'autocomplete': '', 'disabled': False, 'height': 35, 'id': 'cpatchaTextBox', 'name': '', 'page_height': 1301, 'page_width': 2560, 'placeholder': '证明你是人类的', 'readonly': False, 'tag': 'input', 'type': 'text', 'visible': True, 'width': 275, 'x': 1142.5, 'y': 657}, {'autocomplete': '', 'disabled': False, 'height': 13, 'id': '', 'name': '', 'page_height': 1301, 'page_width': 2560, 'placeholder': '', 'readonly': False, 'tag': 'input', 'type': 'checkbox', 'visible': True, 'width': 13, 'x': 1146.5, 'y': 728}, {'autocomplete': '', 'disabled': False, 'height': 35, 'id': '', 'name': '', 'page_height': 1301, 'page_width': 2560, 'placeholder': '', 'readonly': False, 'tag': 'input', 'type': 'submit', 'visible': True, 'width': 110, 'x': 1308.5, 'y': 768}]"
9351278,http://181.78.82.109:8080/facebook,True,True,2026-07-08,http://181.78.82.109:8080/facebook/,"[{'autocomplete': '', 'disabled': False, 'height': 48, 'id': 'email', 'name': 'email', 'page_height': 1301, 'page_width': 2560, 'placeholder': 'Correo electrónico o número de teléfono', 'readonly': False, 'tag': 'input', 'type': 'text', 'visible': True, 'width': 320, 'x': 1382.5, 'y': 464.5}, {'autocomplete': '', 'disabled': False, 'height': 48, 'id': 'pass', 'name': 'pass', 'page_height': 1301, 'page_width': 2560, 'placeholder': 'Contraseña', 'readonly': False, 'tag': 'input', 'type': 'password', 'visible': True, 'width': 320, 'x': 1382.5, 'y': 524.5}]"
9452405,http://acc.mlejnia.cn/x78y329j6y,True,True,2026-07-08,http://acc.mlejnia.cn/login,"[{'autocomplete': '', 'disabled': False, 'height': 35.5625, 'id': 'username_input', 'name': '', 'page_height': 1301, 'page_width': 2560, 'placeholder': '请输入账号', 'readonly': False, 'tag': 'input', 'type': 'text', 'visible': True, 'width': 244, 'x': 1805, 'y': 579.1875}, {'autocomplete': '', 'disabled': False, 'height': 35.5625, 'id': 'password_input', 'name': '', 'page_height': 1301, 'page_width': 2560, 'placeholder': '请输入密码', 'readonly': False, 'tag': 'input', 'type': 'password', 'visible': True, 'width': 228, 'x': 1805, 'y': 638.75}]"
9445432,http://caitlinduffus.com/wp-admin/net/safe.html,True,True,2026-07-08,http://caitlinduffus.com/wp-admin/net/safe.html,"[{'autocomplete': 'username', 'disabled': False, 'height': 21, 'id': 'io-ox-login-username', 'name': 'username', 'page_height': 1301, 'page_width': 2560, 'placeholder': 'Enter your email address', 'readonly': False, 'tag': 'input', 'type': 'text', 'visible': True, 'width': 185, 'x': 0, 'y': 455.875}, {'autocomplete': 'current-password', 'disabled': False, 'height': 21, 'id': 'io-ox-login-password', 'name': 'password', 'page_height': 1301, 'page_width': 2560, 'placeholder': '', 'readonly': False, 'tag': 'input', 'type': 'password', 'visible': True, 'width': 185, 'x': 111.71875, 'y': 476.875}, {'autocomplete': 'new-password', 'disabled': False, 'height': 21, 'id': 'io-ox-retype-password', 'name': 'password2', 'page_height': 1301, 'page_width': 2560, 'placeholder': '', 'readonly': False, 'tag': 'input', 'type': 'password', 'visible': True, 'width': 185, 'x': 153.3125, 'y': 515.875}, {'autocomplete': '', 'disabled': False, 'height': 13, 'id': 'io-ox-login-store-box', 'name': 'staySignedIn', 'page_height': 1301, 'page_width': 2560, 'placeholder': '', 'readonly': False, 'tag': 'input', 'type': 'checkbox', 'visible': True, 'width': 13, 'x': 4, 'y': 539.875}]"
9377157,http://emmanuelbarrault.com/wordpress/wp-content/plugins/hello-dolly/bb/index.html,True,True,2026-07-08,http://emmanuelbarrault.com/wordpress/wp-content/plugins/hello-dolly/bb/index.html,"[{'autocomplete': 'off', 'disabled': False, 'height': 42, 'id': 'logonInfo.logUserName', 'name': 'logonInfo.logUserName', 'page_height': 1301, 'page_width': 2560, 'placeholder': '请输入您的电子邮箱地址。', 'readonly': False, 'tag': 'input', 'type': 'text', 'visible': True, 'width': 360, 'x': 1392, 'y': 161}, {'autocomplete': '', 'disabled': False, 'height': 42, 'id': 'logonInfo.logPassword', 'name': 'logonInfo.logPassword', 'page_height': 1301, 'page_width': 2560, 'placeholder': '', 'readonly': False, 'tag': 'input', 'type': 'password', 'visible': True, 'width': 360, 'x': 1392, 'y': 249}]"
9357006,http://icsacv.com.mx/ceph/,True,True,2026-07-08,http://icsacv.com.mx/ceph/,"[{'autocomplete': '', 'disabled': False, 'height': 35, 'id': 'username', 'name': 'username', 'page_height': 1301, 'page_width': 2560, 'placeholder': 'es.12345@aruba.it', 'readonly': False, 'tag': 'input', 'type': 'text', 'visible': True, 'width': 510.875, 'x': 1280.5, 'y': 255.5}, {'autocomplete': '', 'disabled': False, 'height': 35, 'id': 'password', 'name': 'password', 'page_height': 1301, 'page_width': 2560, 'placeholder': 'Password', 'readonly': False, 'tag': 'input', 'type': 'password', 'visible': True, 'width': 510.875, 'x': 1280.5, 'y': 332.5}]"
9351333,http://mailer05-tra.mdbgo.io/,True,True,2026-07-08,http://mailer05-tra.mdbgo.io/,"[{'autocomplete': '', 'disabled': False, 'height': 50, 'id': 'emm', 'name': 'aa', 'page_height': 1301, 'page_width': 2560, 'placeholder': 'Email Address', 'readonly': False, 'tag': 'input', 'type': 'email', 'visible': True, 'width': 436, 'x': 1062, 'y': 607.328125}, {'autocomplete': '', 'disabled': False, 'height': 50, 'id': 'ppp', 'name': 'bb', 'page_height': 1301, 'page_width': 2560, 'placeholder': 'Password', 'readonly': False, 'tag': 'input', 'type': 'password', 'visible': True, 'width': 436, 'x': 1062, 'y': 681.328125}]"
9358318,https://008963466.weebly.com/,True,True,2026-07-08,https://008963466.weebly.com/,"[{'autocomplete': '', 'disabled': False, 'height': 38, 'id': 'input-364176086348400053', 'name': '_u364176086348400053', 'page_height': 1363, 'page_width': 2560, 'placeholder': '', 'readonly': False, 'tag': 'input', 'type': 'text', 'visible': True, 'width': 203.828125, 'x': 810, 'y': 290.9375}, {'autocomplete': '', 'disabled': False, 'height': 38, 'id': 'input-567374518364977471', 'name': '_u567374518364977471', 'page_height': 1363, 'page_width': 2560, 'placeholder': '', 'readonly': False, 'tag': 'input', 'type': 'text', 'visible': True, 'width': 203.828125, 'x': 810, 'y': 379.9375}]"
9358319,https://035261.weebly.com/,True,True,2026-07-08,https://035261.weebly.com/,"[{'autocomplete': '', 'disabled': False, 'height': 38, 'id': 'input-312139918354613734', 'name': '_u312139918354613734', 'page_height': 1301, 'page_width': 2560, 'placeholder': '', 'readonly': False, 'tag': 'input', 'type': 'text', 'visible': True, 'width': 370, 'x': 820, 'y': 450.78125}, {'autocomplete': '', 'disabled': False, 'height': 38, 'id': 'input-871487062705428342', 'name': '_u871487062705428342', 'page_height': 1301, 'page_width': 2560, 'placeholder': '', 'readonly': False, 'tag': 'input', 'type': 'text', 'visible': True, 'width': 370, 'x': 820, 'y': 536.78125}, {'autocomplete': '', 'disabled': False, 'height': 38, 'id': 'input-122856565288277395', 'name': '_u122856565288277395', 'page_height': 1301, 'page_width': 2560, 'placeholder': '', 'readonly': False, 'tag': 'input', 'type': 'text', 'visible': True, 'width': 370, 'x': 820, 'y': 622.78125}]"
9296489,https://0393761.weebly.com/,True,True,2026-07-08,https://0393761.weebly.com/,"[{'autocomplete': '', 'disabled': False, 'height': 38, 'id': 'input-351447675240847977', 'name': '_u351447675240847977', 'page_height': 1301, 'page_width': 2560, 'placeholder': '', 'readonly': False, 'tag': 'input', 'type': 'text', 'visible': True, 'width': 370, 'x': 820, 'y': 477.578125}, {'autocomplete': '', 'disabled': False, 'height': 38, 'id': 'input-999986652408122215', 'name': '_u999986652408122215', 'page_height': 1301, 'page_width': 2560, 'placeholder': '', 'readonly': False, 'tag': 'input', 'type': 'text', 'visible': True, 'width': 370, 'x': 820, 'y': 563.578125}, {'autocomplete': '', 'disabled': False, 'height': 38, 'id': 'input-325682291553186615', 'name': '_u325682291553186615', 'page_height': 1301, 'page_width': 2560, 'placeholder': '', 'readonly': False, 'tag': 'input', 'type': 'text', 'visible': True, 'width': 370, 'x': 820, 'y': 649.578125}]"
9466341,https://0918784avispdf.weebly.com/,True,True,2026-07-08,https://0918784avispdf.weebly.com/,"[{'autocomplete': '', 'disabled': False, 'height': 35, 'id': 'input-935277374661497091', 'name': '_u935277374661497091', 'page_height': 1343, 'page_width': 2560, 'placeholder': '', 'readonly': False, 'tag': 'input', 'type': 'text', 'visible': True, 'width': 285, 'x': 1236.9375, 'y': 418.59375}, {'autocomplete': '', 'disabled': False, 'height': 35, 'id': 'input-322378058517729669', 'name': '_u322378058517729669', 'page_height': 1343, 'page_width': 2560, 'placeholder': '', 'readonly': False, 'tag': 'input', 'type': 'text', 'visible': True, 'width': 285, 'x': 1236.9375, 'y': 492.59375}]"
9284999,https://093421tr.weebly.com/,True,True,2026-07-08,https://093421tr.weebly.com/,"[{'autocomplete': '', 'disabled': False, 'height': 38, 'id': 'input-590243066920336713', 'name': '_u590243066920336713', 'page_height': 1301, 'page_width': 2560, 'placeholder': '', 'readonly': False, 'tag': 'input', 'type': 'text', 'visible': True, 'width': 370, 'x': 820, 'y': 453.78125}, {'autocomplete': '', 'disabled': False, 'height': 38, 'id': 'input-908050742260737955', 'name': '_u908050742260737955', 'page_height': 1301, 'page_width': 2560, 'placeholder': '', 'readonly': False, 'tag': 'input', 'type': 'text', 'visible': True, 'width': 370, 'x': 820, 'y': 539.78125}, {'autocomplete': '', 'disabled': False, 'height': 38, 'id': 'input-931472237320406565', 'name': '_u931472237320406565', 'page_height': 1301, 'page_width': 2560, 'placeholder': '', 'readonly': False, 'tag': 'input', 'type': 'text', 'visible': True, 'width': 370, 'x': 820, 'y': 625.78125}]"
9281967,https://093748ci.weebly.com/,True,True,2026-07-08,https://093748ci.weebly.com/,"[{'autocomplete': '', 'disabled': False, 'height': 38, 'id': 'input-842532945742110415', 'name': '_u842532945742110415', 'page_height': 1301, 'page_width': 2560, 'placeholder': '', 'readonly': False, 'tag': 'input', 'type': 'text', 'visible': True, 'width': 370, 'x': 820, 'y': 477.578125}, {'autocomplete': '', 'disabled': False, 'height': 38, 'id': 'input-657424604660472260', 'name': '_u657424604660472260', 'page_height': 1301, 'page_width': 2560, 'placeholder': '', 'readonly': False, 'tag': 'input', 'type': 'text', 'visible': True, 'width': 370, 'x': 820, 'y': 563.578125}, {'autocomplete': '', 'disabled': False, 'height': 38, 'id': 'input-573368006310567915', 'name': '_u573368006310567915', 'page_height': 1301, 'page_width': 2560, 'placeholder': '', 'readonly': False, 'tag': 'input', 'type': 'text', 'visible': True, 'width': 370, 'x': 820, 'y': 649.578125}]"
9242340,https://0938roundcube.weebly.com/,True,True,2026-07-08,https://0938roundcube.weebly.com/,"[{'autocomplete': '', 'disabled': False, 'height': 38, 'id': 'input-645499745332084245', 'name': '_u645499745332084245', 'page_height': 1301, 'page_width': 2560, 'placeholder': '', 'readonly': False, 'tag': 'input', 'type': 'text', 'visible': True, 'width': 370, 'x': 820, 'y': 393.796875}, {'autocomplete': '', 'disabled': False, 'height': 38, 'id': 'input-374438416868232293', 'name': '_u374438416868232293', 'page_height': 1301, 'page_width': 2560, 'placeholder': '', 'readonly': False, 'tag': 'input', 'type': 'text', 'visible': True, 'width': 370, 'x': 820, 'y': 479.796875}, {'autocomplete': '', 'disabled': False, 'height': 38, 'id': 'input-395894188583973190', 'name': '_u395894188583973190', 'page_height': 1301, 'page_width': 2560, 'placeholder': '', 'readonly': False, 'tag': 'input', 'type': 'text', 'visible': True, 'width': 370, 'x': 820, 'y': 565.796875}]"
9322655,https://09392.weebly.com/,True,True,2026-07-08,https://09392.weebly.com/,"[{'autocomplete': '', 'disabled': False, 'height': 38, 'id': 'input-982395934381516396', 'name': '_u982395934381516396', 'page_height': 1301, 'page_width': 2560, 'placeholder': '', 'readonly': False, 'tag': 'input', 'type': 'text', 'visible': True, 'width': 370, 'x': 820, 'y': 419.984375}, {'autocomplete': '', 'disabled': False, 'height': 38, 'id': 'input-390173505686673855', 'name': '_u390173505686673855', 'page_height': 1301, 'page_width': 2560, 'placeholder': '', 'readonly': False, 'tag': 'input', 'type': 'text', 'visible': True, 'width': 370, 'x': 820, 'y': 505.984375}, {'autocomplete': '', 'disabled': False, 'height': 38, 'id': 'input-609347688865883800', 'name': '_u609347688865883800', 'page_height': 1301, 'page_width': 2560, 'placeholder': '', 'readonly': False, 'tag': 'input', 'type': 'text', 'visible': True, 'width': 370, 'x': 820, 'y': 591.984375}]"
